workload,config,prefetcher,level,latency,depth,degree,slots,table_entries,delta_width,accesses,reached_level,baseline_misses,misses,miss_rate,coverage,accuracy,generated,filtered,issued,useful,late,late_rate,pollution,overflows,seconds
leela,stride-l2-lat0-degree4,stride,L2,0,,4,,,,20000000,165359,9651,8524,5.1548,11.6775,79.7449,172263,169597,2666,2126,0,0.0,11.2903,,46.2
leela,stride-l2-lat16-degree1,stride,L2,16,,1,,,,20000000,165359,9651,9942,6.0124,-3.0152,9.0959,43067,41253,1814,165,1547,85.2811,3.0871,,49.8
leela,stride-l2-lat16-degree4,stride,L2,16,,4,,,,20000000,165359,9651,9563,5.7832,0.9118,40.7727,172263,169597,2666,1087,1039,38.9722,11.2903,,42.3
leela,stride-l2-lat256-degree1,stride,L2,256,,1,,,,20000000,165359,9651,10053,6.0795,-4.1654,2.9217,43067,41253,1814,53,1659,91.4553,3.0871,,53.6
leela,stride-l2-lat256-degree4,stride,L2,256,,4,,,,20000000,165359,9651,10506,6.3534,-8.8592,4.7152,172263,169612,2651,125,1986,74.9151,11.3542,,46.5
leela,stride-l2-lat4-degree1,stride,L2,4,,1,,,,20000000,165359,9651,9213,5.5715,4.5384,49.2834,43067,41253,1814,894,818,45.0937,3.0871,,57.8
leela,stride-l2-lat4-degree4,stride,L2,4,,4,,,,20000000,165359,9651,8565,5.1796,11.2527,78.2071,172263,169597,2666,2085,41,1.5379,11.2903,,43.8
leela,stride-l2-lat64-degree1,stride,L2,64,,1,,,,20000000,165359,9651,10050,6.0777,-4.1343,3.1422,43067,41253,1814,57,1655,91.2348,3.0871,,45.7
leela,stride-l2-lat64-degree4,stride,L2,64,,4,,,,20000000,165359,9651,10384,6.2797,-7.5951,9.9775,172263,169597,2666,266,1860,69.7674,11.2903,,48.6
xz,ngram-l2-lat0-degree1-depth2-slots1,ngram,L2,0,2,1,1,524288,48,20000000,482395,273893,263816,54.6888,3.6792,80.0179,22836,9459,13377,10704,0,0.0,19.541,0,51.1
xz,ngram-l2-lat0-degree4-depth2-slots1,ngram,L2,0,2,4,1,524288,48,20000000,482395,273893,262784,54.4749,4.056,76.3348,57375,41698,15677,11967,0,0.0,23.1613,0,44.3
